date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
25/5/2004,2004,14,23,27,37,40,45,"33,282,950",1,https://lottery.hk/en/mark-six/results/2004-05-25
27/5/2004,2004,2,16,19,24,48,49,0,0,https://lottery.hk/en/mark-six/results/2004-05-27
29/5/2004,2004,3,10,20,27,40,46,0,0,https://lottery.hk/en/mark-six/results/2004-05-29
1/6/2004,2004,9,27,32,38,39,43,0,0,https://lottery.hk/en/mark-six/results/2004-06-01
3/6/2004,2004,13,33,37,40,41,47,0,0,https://lottery.hk/en/mark-six/results/2004-06-03
5/6/2004,2004,6,8,12,29,32,40,0,0,https://lottery.hk/en/mark-six/results/2004-06-05
8/6/2004,2004,7,18,28,29,37,49,0,0,https://lottery.hk/en/mark-six/results/2004-06-08
11/6/2004,2004,11,16,26,42,43,48,"30,634,315",2,https://lottery.hk/en/mark-six/results/2004-06-11
15/6/2004,2004,3,7,13,20,36,48,"31,421,355",1,https://lottery.hk/en/mark-six/results/2004-06-15
17/6/2004,2004,5,9,18,21,28,32,"5,000,000",1,https://lottery.hk/en/mark-six/results/2004-06-17
19/6/2004,2004,28,34,38,41,46,48,"5,000,000",1,https://lottery.hk/en/mark-six/results/2004-06-19
24/6/2004,2004,3,5,6,11,13,40,0,0,https://lottery.hk/en/mark-six/results/2004-06-24
26/6/2004,2004,7,21,23,29,33,44,0,0,https://lottery.hk/en/mark-six/results/2004-06-26
29/6/2004,2004,3,7,9,14,25,44,0,0,https://lottery.hk/en/mark-six/results/2004-06-29
1/7/2004,2004,11,25,32,33,37,42,0,0,https://lottery.hk/en/mark-six/results/2004-07-01
3/7/2004,2004,2,16,18,35,48,49,"29,631,150",1,https://lottery.hk/en/mark-six/results/2004-07-03
6/7/2004,2004,9,22,37,40,42,48,0,0,https://lottery.hk/en/mark-six/results/2004-07-06
8/7/2004,2004,3,6,8,13,28,36,"2,091,065",4,https://lottery.hk/en/mark-six/results/2004-07-08
10/7/2004,2004,1,6,7,12,36,42,0,0,https://lottery.hk/en/mark-six/results/2004-07-10
13/7/2004,2004,1,3,13,18,21,35,0,0,https://lottery.hk/en/mark-six/results/2004-07-13
15/7/2004,2004,6,30,31,37,38,43,0,0,https://lottery.hk/en/mark-six/results/2004-07-15
17/7/2004,2004,7,9,18,32,48,49,"4,373,205",4,https://lottery.hk/en/mark-six/results/2004-07-17
20/7/2004,2004,6,8,12,21,32,43,"28,522,265",1,https://lottery.hk/en/mark-six/results/2004-07-20
22/7/2004,2004,1,6,7,8,24,42,"5,000,000",1,https://lottery.hk/en/mark-six/results/2004-07-22
24/7/2004,2004,10,18,22,34,36,37,0,0,https://lottery.hk/en/mark-six/results/2004-07-24
27/7/2004,2004,1,2,20,34,35,43,0,0,https://lottery.hk/en/mark-six/results/2004-07-27
29/7/2004,2004,1,16,26,31,35,36,"5,703,260",3,https://lottery.hk/en/mark-six/results/2004-07-29
31/7/2004,2004,13,14,32,40,43,48,0,0,https://lottery.hk/en/mark-six/results/2004-07-31
3/8/2004,2004,7,14,27,29,37,49,"5,168,395",2,https://lottery.hk/en/mark-six/results/2004-08-03
5/8/2004,2004,8,13,27,39,40,45,0,0,https://lottery.hk/en/mark-six/results/2004-08-05
